,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase,epochs
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetTruehyper,1,2023-01-03 00:00:00,16.228046318170513,21.426117035313176,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:0.001",6,18.07118140492498,25.582376045093202,0.18739003,0.24600524,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,16.25590525213549,23.890623722612784,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:True",6,18.07227709148728,28.989032946134866,0.18702327,0.27067724,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetFalsehyper,1,2023-01-03 00:00:00,81.86566919636552,83.66582465286379,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:0.001",7,199.97802511415523,200.0,1.1224371,1.0983495,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,16.25590525213549,23.890623722612784,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:True",6,18.07227709148728,28.989032946134866,0.18702327,0.27067724,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetTruehyper,1,2023-01-03 00:00:00,80.059709772808,81.78143210239566,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.5 Seasonality:7 Subset:0.001",8,199.98273401826484,200.0,1.0921555,1.0734996,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,15.092618722162769,23.245431758869312,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.5 Seasonality:7 Subset:True",8,16.4261647402968,27.923858107182017,0.17543104,0.2482856,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetFalsehyper,1,2023-01-03 00:00:00,74.39817128548927,75.84745175350322,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.5 Seasonality:7 Subset:0.001",9,198.71913731245922,198.10444078947367,0.9967875,0.9952385,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,15.092618722162769,23.245431758869312,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.5 Seasonality:7 Subset:True",8,16.4261647402968,27.923858107182017,0.17543104,0.2482856,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetTruehyper,1,2023-01-03 00:00:00,15.941366526996577,24.352377071714553,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.7 Seasonality:7 Subset:0.001",10,17.766409817351597,29.477117170367322,0.18884228,0.26098877,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,15.894855727518662,18.81546352021307,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.7 Seasonality:7 Subset:True",10,17.68542074363992,22.127940395422147,0.18749477,0.22000599,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetFalsehyper,1,2023-01-03 00:00:00,86.11884275885853,88.08991710799681,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.7 Seasonality:7 Subset:0.001",11,199.96834230267447,200.0,1.1935254,1.1566863,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,15.894855727518662,18.81546352021307,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.2 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:False No Trend:False Beta Smoothing:0.7 Seasonality:7 Subset:True",10,17.68542074363992,22.127940395422147,0.18749477,0.22000599,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetTruehyper,1,2023-01-03 00:00:00,100.0516224178174,102.47582127171512,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.5 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:True No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:0.001",12,199.9461431833007,200.0,1.4246429,1.346347,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,87.10439868072824,89.11255446502052,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.5 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:True No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:True",12,199.9663445857795,200.0,1.2099566,1.1701702,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnsubsetFalsehyper,1,2023-01-03 00:00:00,14.51594298376815,30.14653948255815,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.5 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:True No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:0.001",13,16.626592567677754,39.14714398300438,0.1824899,0.29280844,200.0
esrnn_1_2023-01-03 00:00:00,esrnn_esrnnfthyper,1,2023-01-03 00:00:00,87.10439868072824,89.11255446502052,"Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2 Alpha Smoothing:0.5 Cell Type:GRU Dilations:((1, 7), (14, 28)) Multiplicative Seasonality:True No Trend:False Beta Smoothing:0.2 Seasonality:7 Subset:True",12,199.9663445857795,200.0,1.2099566,1.1701702,200.0
