,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.795952922467325,8.196508213087268,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,7,30.258291544357466,10.13744260553728,0.33151603,0.095594056
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.474148430374424,9.1865503767577,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,7,29.927924209067186,11.184191252055921,0.34315756,0.10457598
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.662783067860442,4.6104337866330685,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,8,31.63836737606001,4.465613114206414,0.40475398,0.04651037
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,27.679481326849995,11.359014996014729,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,8,33.57892000978473,13.30643396210252,0.46269807,0.14408481
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,27.504128995778185,18.405043764857723,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,8,33.885620515329414,23.126878169544955,0.33662415,0.19502874
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.59560862919266,8.356472188753234,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,9,30.223191352739725,10.350869697436952,0.33748978,0.09750422
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.226275292557485,11.774724392591292,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,9,30.323444125081537,15.66587428042763,0.32066542,0.1442332
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.98614483494521,8.674402257020455,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,9,30.61418328033268,10.035304019325658,0.34943467,0.094132744
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,25.20932144456317,6.209494599494579,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,10,32.00923944063927,6.135843912760416,0.41686535,0.06487493
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.992723550440637,5.22096854012244,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.4,10,32.00484650195695,5.095432214569627,0.41182932,0.053507682
