dte,close_crd,high_crd,googtnd_brent,bb_pctb_crd,low_crd,googtnd_wti,bb_mavg_crd,volume_sp,fse_neg_med_c,fsc_lbl_med_i,volume_crd,rsi_crd,wb_crude_brent,ctr_con_de_f_cc1,snt_bs_ici_bal,snt_bs_sci_bal,fsa_sent_med_c,fse_lbl_sum_eod_i,fse_neu_sum_i,fsc_lbl_med,fsa_lbl_med_arc_i,close_sp,open_ns,low_ns,snt_bs_rci_bal,fsa_lbl_sum_arc_i,fsa_sent_sum_i,fsa_sent_med_i,momentum_irn,bb_pctb_irn,fsa_lbl_med_arc_c
2010-10-26,82.55000305175781,82.87999725341797,1,0.781067748401586,81.80999755859375,1,84.57017373105126,4203.68,0.008043429209596,-1,265.93,59.90760423187907,82.9180952381,106.7,4.5,23.6,0.4811709225177765,2.090371581519452,5.682100023142301,-1.0,-0.5,1185.6400146484375,2476.510009765625,2470.1201171875,1.7,-1,0.9905444979667664,0.4952722489833832,0.4378966234753594,0.6818749388319271,0.0
2010-10-27,81.94000244140625,82.69000244140625,1,0.7617516355639259,80.5199966430664,1,84.54463943079084,4335.67,0.008043429209596,-1,375.249,59.53013700683027,82.9180952381,106.7,4.5,23.6,0.4281117916107178,2.125250927882438,5.531418618206655,-1.0,0.0,1182.449951171875,2484.090087890625,2478.010009765625,1.7,0,0.8519690632820129,0.4259845316410064,-0.5999999999999943,0.6706312569642013,0.0
2010-10-28,82.18000030517578,82.63999938964844,1,0.7637989942332749,81.5,1,84.52638062205662,4283.46,0.008043429209596,-1,296.748,59.34198769353553,82.9180952381,106.7,4.5,23.6,0.4281117916107178,1.97634555114131,5.638109088185698,-1.0,-1.0,1183.780029296875,2516.159912109375,2489.760009765625,1.7,-3,2.0503083765506744,0.4638370871543884,-0.5,0.6693331993444351,0.0
2010-10-29,81.43000030517578,82.12000274658203,1,0.7424481221351009,80.55999755859375,1,84.49847184282858,3537.88,0.008043429209596,-1,313.874,58.94341971679357,82.9180952381,106.7,4.5,23.6,0.4281117916107178,2.047457853892755,5.8387788328142,-1.0,0.0,1183.260009765625,2505.989990234375,2505.860107421875,1.7,-1,2.6296635568141937,0.4291863292455673,3.5,0.7036843085382138,0.0
2010-11-01,82.94999694824219,83.86000061035156,1,0.7821064826490555,81.31999969482422,1,84.47448083179007,4129.18,0.008043429209596,-1,358.535,59.54163945513851,85.67,111.4,4.1,22.7,0.4281117916107178,1.9215466723297312,5.4066285506632585,-1.0,-1.0,1184.3800048828125,2520.449951171875,2491.4599609375,3.8,-5,2.769742578268051,0.5593661069869995,-1.5,0.724463735844222,0.0
