,model,r_sq,rss,diff
1,2,0.9993144548462222,11693.600370807882,1329.4111177363957
2,3,0.9993279639072971,11463.171257970642,230.4291128372406
3,4,0.99933348064316,11369.070228772183,94.10102919845849
4,5,0.9993381970606853,11288.620529115395,80.44969965678865
5,6,0.9993425388924712,11214.560278668592,74.06025044680246
6,7,0.9993460321936352,11154.973732748145,59.58654592044695
7,8,0.9993492123271529,11100.729004624478,54.2447281236673
8,9,0.9993533680063095,11029.84402927565,70.88497534882845
9,10,0.9993576110756404,10957.46840700306,72.37562227258968
10,11,0.999361393611994,10892.948268155562,64.52013884749795
11,12,0.9993648296374946,10834.338694670096,58.60957348546617
12,13,0.9993692461309782,10759.004911689957,75.3337829801385
13,14,0.9993718857181852,10713.980484382082,45.02442730787516
14,15,0.9993741093426739,10676.051288906987,37.929195475095185
15,16,0.9993761940974104,10640.490846789578,35.560442117408456
16,17,0.9993780940140774,10608.083256831294,32.40758995828401
17,18,0.9993799804180846,10575.906157369202,32.17709946209288
18,19,0.9993826050183415,10531.13736808065,44.76878928855149
19,20,0.9993843430284187,10501.491479446628,29.645888634022413
20,21,0.9993876136812433,10445.702729613602,55.78874983302558
21,22,0.9993903518186847,10398.997294057615,46.705435555986696
22,23,0.9993922540677431,10366.549919625515,32.44737443210033
23,24,0.9993939901877584,10336.93627048446,29.61364914105434
24,25,0.999395536747373,10310.556024072563,26.380246411898042
25,26,0.9993975986934183,10275.384638342372,35.171385730191105
26,27,0.9993993302529575,10245.84877895005,29.535859392321072
27,28,0.9994008364225659,10220.157479995582,25.691298954468948
28,29,0.9994060587416013,10131.07842886243,89.07905113315064
