Date,Open_crd,High_crd,Low_crd,Close_crd,Adj Close_crd,Volume_crd,Open_sp,High_sp,Low_sp,Close_sp,Adj Close_sp,Volume_sp,Open_ns,High_ns,Low_ns,Close_ns,Adj Close_ns,Volume_ns,Open_usd,High_usd,Low_usd,Close_usd,Adj Close_usd,Volume_usd
2010-01-04,79.62999725341797,81.68000030517578,79.62999725341797,81.51000213623047,81.51000213623047,263542,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375,1132.989990234375,3991400000,2294.409912109375,2311.14990234375,2294.409912109375,2308.419921875,2308.419921875,1931380000,77.93000030517578,78.19000244140625,77.26000213623047,77.52999877929688,77.52999877929688,0
2010-01-05,81.62999725341797,82.0,80.94999694824219,81.7699966430664,81.7699966430664,258887,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125,1136.52001953125,2491020000,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2308.7099609375,2367860000,77.37000274658203,77.70999908447266,77.08999633789062,77.62000274658203,77.62000274658203,0
2010-01-06,81.43000030517578,83.5199966430664,80.8499984741211,83.18000030517578,83.18000030517578,370059,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375,1137.1400146484375,4972660000,2307.7099609375,2314.070068359375,2295.679931640625,2301.090087890625,2301.090087890625,2253340000,77.6500015258789,78.0,77.36000061035156,77.48999786376953,77.48999786376953,0
2010-01-07,83.19999694824219,83.36000061035156,82.26000213623047,82.66000366210938,82.66000366210938,246632,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625,1141.68994140625,5270680000,2298.090087890625,2301.300048828125,2285.219970703125,2300.050048828125,2300.050048828125,2270050000,77.37000274658203,78.08000183105469,77.30000305175781,77.91000366210938,77.91000366210938,0
2010-01-08,82.6500015258789,83.47000122070312,81.80000305175781,82.75,82.75,310377,1140.52001953125,1145.3900146484375,1136.219970703125,1144.97998046875,1144.97998046875,4389590000,2292.239990234375,2317.60009765625,2290.610107421875,2317.169921875,2317.169921875,2145390000,77.9800033569336,78.19000244140625,77.3499984741211,77.47000122070312,77.47000122070312,0
2010-01-11,82.87999725341797,83.94999694824219,81.95999908447266,82.5199966430664,82.5199966430664,296304,1145.9599609375,1149.739990234375,1142.02001953125,1146.97998046875,1146.97998046875,4255780000,2324.780029296875,2326.280029296875,2302.2099609375,2312.409912109375,2312.409912109375,2077890000,77.20999908447266,77.2300033569336,76.79000091552734,77.0,77.0,0
2010-01-12,82.06999969482422,82.33999633789062,79.91000366210938,80.79000091552734,80.79000091552734,333866,1143.81005859375,1143.81005859375,1131.77001953125,1136.219970703125,1136.219970703125,4716160000,2297.280029296875,2298.85009765625,2272.699951171875,2282.31005859375,2282.31005859375,2368320000,77.08999633789062,77.30999755859375,76.76000213623047,76.94999694824219,76.94999694824219,0
2010-01-13,80.05999755859375,80.66999816894531,78.37000274658203,79.6500015258789,79.6500015258789,401627,1137.31005859375,1148.4000244140625,1133.1800537109375,1145.6800537109375,1145.6800537109375,4170360000,2289.4599609375,2313.030029296875,2274.1201171875,2307.89990234375,2307.89990234375,2318350000,77.12000274658203,77.1500015258789,76.5999984741211,76.8499984741211,76.8499984741211,0
2010-01-14,79.62999725341797,80.36000061035156,78.91999816894531,79.38999938964844,79.38999938964844,275404,1145.6800537109375,1150.4100341796875,1143.800048828125,1148.4599609375,1148.4599609375,3915200000,2303.31005859375,2322.56005859375,2303.2900390625,2316.739990234375,2316.739990234375,2254170000,76.79000091552734,77.0199966430664,76.66999816894531,76.7300033569336,76.7300033569336,0
2010-01-15,79.19999694824219,79.30999755859375,77.69999694824219,78.0,78.0,200555,1147.719970703125,1147.77001953125,1131.3900146484375,1136.030029296875,1136.030029296875,4758730000,2316.97998046875,2322.5400390625,2279.199951171875,2287.989990234375,2287.989990234375,2637770000,76.77999877929688,77.41000366210938,76.7699966430664,77.31999969482422,77.31999969482422,0
