dte,close_irn,momentum_irn
2010-10-26,145.1,0.4378966234753594
2010-10-27,144.5,-0.5999999999999943
2010-10-28,144.0,-0.5
2010-10-29,147.5,3.5
2010-11-01,146.0,-1.5
