,model,r_sq,rss,diff
1,2,0.999304420028953,11901.87215895364,1132.1956164280764
2,3,0.999312214014817,11768.511471151429,133.36068780221103
3,4,0.9993180121175677,11669.301774817213,99.20969633421555
4,5,0.9993217340176755,11605.617394708213,63.6843801089999
5,6,0.9993264114532712,11525.583117115177,80.03427759303668
6,7,0.9993306039592794,11453.84633254338,71.7367845717963
7,8,0.9993349170930544,11380.04552036975,73.80081217363113
8,9,0.9993375617624203,11334.793330822085,45.252189547663875
9,10,0.9993392393342786,11306.08887321031,28.70445761177507
10,11,0.9993418820849989,11260.869513064747,45.21936014556377
11,12,0.9993438236870388,11227.64730968888,33.22220337586623
12,13,0.9993461712831593,11187.478256423095,40.169053265784896
13,14,0.999348099582616,11154.483669786006,32.994586637089014
14,15,0.9993490272671813,11138.61032155722,15.873348228786199
15,16,0.9993507870211671,11108.499668805129,30.110652752091482
16,17,0.9993520566893135,11086.774736243673,21.724932561455716
17,18,0.9993525912181443,11077.628564595176,9.14617164849733
18,19,0.9993533482782238,11064.674723689475,12.953840905700417
19,20,0.9993603191642596,10945.397864254657,119.2768594348181
20,21,0.9993612769579031,10929.009328104776,16.388536149881475
21,22,0.9993625625456943,10907.01199900233,21.997329102445292
22,23,0.9993631557846957,10896.861254231006,10.150744771324753
23,24,0.9993638074859414,10885.710178531288,11.151075699717694
24,25,0.9993644632889863,10874.488918106941,11.221260424346838
25,26,0.9993649094870364,10866.854149466506,7.634768640435141
26,27,0.9993652762748649,10860.578146668156,6.276002798349509
27,28,0.9993657270906413,10852.864365420359,7.7137812477976695
28,29,0.9993660808558199,10846.81118950149,6.053175918868874
29,30,0.9993665186498302,10839.320220010144,7.4909694913458225
30,31,0.9993671205004425,10829.0221243977,10.29809561244474
31,32,0.9993677282278665,10818.623472326924,10.398652070774915
32,33,0.9993681239646863,10811.852131525031,6.77134080189353
33,34,0.9993684496296199,10806.279770951505,5.572360573525657
34,35,0.9993687220598929,10801.618293599828,4.661477351677604
35,36,0.9993689539873042,10797.649849260319,3.9684443395090057
36,37,0.9993692478003489,10792.62249734954,5.027351910779544
37,38,0.9993694816362934,10788.621396637644,4.00110071189556
38,39,0.99936971527971,10784.623590215535,3.9978064221086242
39,40,0.9993707445441411,10767.01213763341,17.61145258212491
40,41,0.9993717272600309,10750.197163977307,16.814973656102666
41,42,0.9993719984155987,10745.557497745547,4.639666231760202
