,dte,step,y_pred,y_val
0_2023-01-04,2023-01-04,0,0.1472492068975244,73.66999816894531
0_2023-01-05,2023-01-05,0,0.28412220913596614,73.7699966430664
0_2023-01-06,2023-01-06,0,0.32383222681528423,74.62999725341797
0_2023-01-09,2023-01-09,0,0.4210105757910016,75.12000274658203
0_2023-01-10,2023-01-10,0,0.35917416713469486,77.41000366210938
0_2023-01-11,2023-01-11,0,0.45912744092001506,78.38999938964844
0_2023-01-12,2023-01-12,0,0.4690757894952087,79.86000061035156
0_2023-01-13,2023-01-13,0,0.5055694886464903,80.18000030517578
0_2023-01-17,2023-01-17,0,0.5133793876183917,79.4800033569336
0_2023-01-18,2023-01-18,0,0.5060423503818527,80.33000183105469
0_2023-01-19,2023-01-19,0,0.42198321835229446,81.30999755859375
0_2023-01-20,2023-01-20,0,0.4490336999496168,81.62000274658203
0_2023-01-23,2023-01-23,0,0.5445226337190542,80.12999725341797
0_2023-01-24,2023-01-24,0,0.4710027760169871,80.1500015258789
0_2023-01-25,2023-01-25,0,0.5242262537250068,81.01000213623047
0_2023-01-26,2023-01-26,0,0.5187285542723864,79.68000030517578
0_2023-01-27,2023-01-27,0,0.44172196163444805,77.9000015258789
0_2023-01-30,2023-01-30,0,0.35931751257954386,78.87000274658203
0_2023-01-31,2023-01-31,0,0.34632272551862736,76.41000366210938
0_2023-02-01,2023-02-01,0,1.0098872221498678,75.87999725341797
0_2023-02-02,2023-02-02,0,1.033492230476253,73.38999938964844
0_2023-02-03,2023-02-03,0,1.0570316429398723,74.11000061035156
0_2023-02-06,2023-02-06,0,0.8490300274603866,77.13999938964844
0_2023-02-07,2023-02-07,0,0.9497221668549298,78.47000122070312
0_2023-02-08,2023-02-08,0,0.9108423560566085,78.05999755859375
0_2023-02-09,2023-02-09,0,0.8846377282219066,79.72000122070312
0_2023-02-10,2023-02-10,0,0.9314817649128737,80.13999938964844
0_2023-02-13,2023-02-13,0,0.8393868129212807,79.05999755859375
0_2023-02-14,2023-02-14,0,0.8443167475264088,78.58999633789062
0_2023-02-15,2023-02-15,0,0.8735157978204897,78.48999786376953
0_2023-02-16,2023-02-16,0,0.8653577386246536,76.33999633789062
0_2023-02-17,2023-02-17,0,-2.040048949623606,76.16000366210938
0_2023-02-21,2023-02-21,0,-2.0881630979808317,73.94999694824219
0_2023-02-22,2023-02-22,0,-2.04164416951866,75.38999938964844
1_2023-01-11,2023-01-11,1,0.45595900811461104,78.38999938964844
1_2023-01-12,2023-01-12,1,0.46563519400300535,79.86000061035156
1_2023-01-13,2023-01-13,1,0.5018634185041451,80.18000030517578
1_2023-01-17,2023-01-17,1,0.5097428517262641,79.4800033569336
1_2023-01-18,2023-01-18,1,0.5024376740045846,80.33000183105469
1_2023-01-19,2023-01-19,1,0.4176664510718038,81.30999755859375
1_2023-01-20,2023-01-20,1,0.4454005825641569,81.62000274658203
1_2023-01-23,2023-01-23,1,0.5408036548390442,80.12999725341797
1_2023-01-24,2023-01-24,1,0.4669141986818647,80.1500015258789
1_2023-01-25,2023-01-25,1,0.5197830431222443,81.01000213623047
1_2023-01-26,2023-01-26,1,0.5150689581816877,79.68000030517578
1_2023-01-27,2023-01-27,1,0.4380812949128656,77.9000015258789
1_2023-01-30,2023-01-30,1,0.3549874226414049,78.87000274658203
1_2023-01-31,2023-01-31,1,0.34233008858805586,76.41000366210938
1_2023-02-01,2023-02-01,1,1.0091866869950592,75.87999725341797
1_2023-02-02,2023-02-02,1,1.031546094144665,73.38999938964844
1_2023-02-03,2023-02-03,1,1.0563095731374723,74.11000061035156
1_2023-02-06,2023-02-06,1,0.8472092133066484,77.13999938964844
1_2023-02-07,2023-02-07,1,0.9502921754020637,78.47000122070312
1_2023-02-08,2023-02-08,1,0.9106595070038452,78.05999755859375
1_2023-02-09,2023-02-09,1,0.8842261357374284,79.72000122070312
1_2023-02-10,2023-02-10,1,0.9314204724552981,80.13999938964844
1_2023-02-13,2023-02-13,1,0.8391322322571529,79.05999755859375
1_2023-02-14,2023-02-14,1,0.8435221305033201,78.58999633789062
1_2023-02-15,2023-02-15,1,0.8728635211025766,78.48999786376953
1_2023-02-16,2023-02-16,1,0.8650693158223298,76.33999633789062
1_2023-02-17,2023-02-17,1,-2.0308347921694154,76.16000366210938
1_2023-02-21,2023-02-21,1,-2.0786490417837724,73.94999694824219
1_2023-02-22,2023-02-22,1,-2.032321491223277,75.38999938964844
1_2023-02-23,2023-02-23,1,-1.958516796931177,76.31999969482422
1_2023-02-24,2023-02-24,1,-1.888291907336733,75.68000030517578
1_2023-02-27,2023-02-27,1,-1.974072179674352,77.05000305175781
1_2023-02-28,2023-02-28,1,-1.8974018629125986,77.69000244140625
1_2023-03-01,2023-03-01,1,-1.8412600643949923,78.16000366210938
2_2023-01-19,2023-01-19,2,0.4118188143914889,81.30999755859375
2_2023-01-20,2023-01-20,2,0.4391443345511594,81.62000274658203
2_2023-01-23,2023-01-23,2,0.5333493361668318,80.12999725341797
2_2023-01-24,2023-01-24,2,0.4604080634069663,80.1500015258789
2_2023-01-25,2023-01-25,2,0.5125912830319588,81.01000213623047
2_2023-01-26,2023-01-26,2,0.5079300868618422,79.68000030517578
2_2023-01-27,2023-01-27,2,0.43190750440217307,77.9000015258789
2_2023-01-30,2023-01-30,2,0.3498697918695158,78.87000274658203
2_2023-01-31,2023-01-31,2,0.33737219082894315,76.41000366210938
2_2023-02-01,2023-02-01,2,1.0062241613750775,75.87999725341797
2_2023-02-02,2023-02-02,2,1.0282979820406093,73.38999938964844
