,model,r_sq,rss,diff
1,2,0.9999992887475739,28.14673693906746,11487.12604533608
2,3,0.9999992904777094,28.078269447592398,0.06846749147506159
3,4,0.9999992916252664,28.03285662454789,0.04541282304450789
4,5,0.9999992924721507,27.99934245985677,0.033514164691119674
5,6,0.9999992929540324,27.980272717086123,0.01906974277064677
6,7,0.99999929344162,27.960977180754607,0.019295536331515706
7,8,0.9999992948556006,27.90502104141092,0.055956139343688704
8,9,0.9999992954380047,27.881973281663704,0.023047759747214513
9,10,0.9999992959118569,27.86322129839867,0.0187519832650338
10,11,0.9999992962737514,27.84889987289813,0.014321425500540386
11,12,0.9999992968424584,27.826394152679224,0.022505720218905623
12,13,0.9999992977697839,27.789696652630063,0.03669750004916139
13,14,0.9999992981944807,27.772889918009305,0.01680673462075788
14,15,0.9999992984467552,27.762906540334743,0.009983377674561922
15,16,0.9999992987172175,27.75220340507678,0.010703135257962515
16,17,0.9999992990374365,27.73953122422917,0.012672180847609127
17,18,0.9999992993220342,27.72826869733083,0.011262526898342173
18,19,0.9999992995932663,27.717535100450856,0.010733596879973106
19,20,0.9999992999685667,27.702683150822367,0.014851949628489791
20,21,0.9999993001874357,27.694021746165795,0.008661404656571392
21,22,0.9999993027414664,27.592949851207273,0.10107189495852253
22,23,0.9999993033907224,27.567256526304128,0.0256933249031448
23,24,0.9999993036366256,27.557525283379128,0.009731242924999606
24,25,0.9999993038086722,27.550716800386194,0.006808482992934017
25,26,0.9999993041287959,27.538048387627033,0.01266841275916164
26,27,0.9999993043111078,27.530833669743185,0.007214717883847754
27,28,0.9999993044713982,27.524490423848846,0.006343245894338878
28,29,0.9999993046455317,27.51759935339715,0.006891070451697345
29,30,0.9999993049526382,27.505446077916623,0.012153275480525139
30,31,0.9999993052284005,27.49453319945245,0.010912878464171882
31,32,0.9999993055304437,27.48258030174337,0.011952897709083032
32,33,0.9999993056974372,27.475971784676513,0.0066085170668550575
33,34,0.9999993061008954,27.46000553926979,0.01596624540672309
34,35,0.9999993064029777,27.448051088722824,0.0119544505469662
35,36,0.999999306551943,27.442156013500846,0.0058950752219786295
36,37,0.9999993066819984,27.437009265552415,0.005146747948430175
37,38,0.9999993068237885,27.431398141787874,0.005611123764541759
38,39,0.9999993069680466,27.425689344088646,0.00570879769922783
39,40,0.9999993071912439,27.41685665138545,0.008832692703194311
40,41,0.999999307363694,27.410032197715637,0.006824453669814545
41,42,0.9999993074700798,27.405822139058568,0.004210058657069027
42,43,0.999999307603353,27.40054805520103,0.00527408385753958
43,44,0.9999993077236816,27.395786231590492,0.004761823610536453
44,45,0.9999993078134136,27.392235225197894,0.0035510063925983104
45,46,0.9999993078955296,27.388985608447936,0.003249616749958051
46,47,0.9999993080348608,27.383471788500056,0.005513819947879028
47,48,0.9999993087158883,27.35652116094853,0.026950627551524775
48,49,0.9999993088058192,27.352962278390816,0.003558882557715748
49,50,0.9999993089283631,27.34811278786802,0.004849490522797595
50,51,0.9999993090626891,27.342797040537167,0.0053157473308509395
51,52,0.9999993091394572,27.339759060120727,0.0030379804164404334
52,53,0.9999993094934952,27.325748542151967,0.014010517968760183
53,54,0.9999993096409185,27.31991448757224,0.005834054579725745
54,55,0.9999993097089315,27.317222977859217,0.0026915097130242316
55,56,0.999999309773325,27.314674704366222,0.0025482734929944684
56,57,0.9999993098376329,27.31212981516706,0.002544889199160849
57,58,0.9999993100067687,27.30543652448033,0.00669329068673008
58,59,0.9999993100426823,27.304015295326597,0.001421229153734771
59,60,0.9999993100763753,27.302681944536495,0.0013333507901016617
60,61,0.9999993101281072,27.30063473610185,0.0020472084346465635
61,62,0.9999993101599786,27.299373471863753,0.001261264238095805
62,63,0.9999993102078324,27.297479731912333,0.0018937399514200592
63,64,0.9999993102517404,27.295742139680407,0.001737592231926044
64,65,0.9999993103003552,27.293818281723034,0.0019238579573723769
65,66,0.9999993103300734,27.29264222894453,0.0011760527785042996
66,67,0.9999993103876801,27.290362531015074,0.002279697929456148
67,68,0.9999993104352223,27.288481119246157,0.001881411768916763
68,69,0.9999993104649092,27.287306308016603,0.0011748112295535407
69,70,0.9999993105216046,27.28506267199762,0.002243636018985029
70,71,0.9999993110476133,27.26424667284127,0.020815999156347686
71,72,0.9999993112421397,27.256548586032334,0.007698086808936466
72,73,0.9999993120335542,27.225229556096426,0.03131902993590785
73,74,0.9999993121962337,27.218791763412746,0.006437792683680499
74,75,0.9999993123104344,27.214272443004024,0.0045193204087219385
75,76,0.9999993124644351,27.20817809859739,0.0060943444066339225
76,77,0.9999993125311647,27.20553737577751,0.002640722819879926
77,78,0.9999993125862311,27.2033582051682,0.002179170609309722
78,79,0.9999993127696962,27.19609785416035,0.007260351007850829
79,80,0.9999993128166449,27.19423992855378,0.0018579256065685001
80,81,0.9999993128524161,27.192824338385154,0.0014155901686265793
81,82,0.9999993128733341,27.19199653888977,0.0008277994953829193
82,83,0.9999993128956816,27.191112174834934,0.0008843640548370502
83,84,0.9999993129709769,27.188132475112187,0.0029796997227471422
84,85,0.9999993129978164,27.1870703400473,0.001062135064888281
85,86,0.9999993131255563,27.182015228649696,0.0050551113976027295
86,87,0.999999313196943,27.179190205508323,0.0028250231413728955
87,88,0.9999993132178633,27.178362318704096,0.0008278868042275178
88,89,0.9999993132332413,27.17775375828589,0.0006085604182075599
89,90,0.9999993132486004,27.177145947491624,0.0006078107942641964
90,91,0.9999993132711207,27.176254737132297,0.0008912103593274878
91,92,0.9999993133908597,27.17151624908417,0.004738488048126044
92,93,0.9999993134494558,27.16919739577925,0.002318853304920765
93,94,0.999999313658809,27.16091255987728,0.008284835901971377
94,95,0.9999993137935342,27.155581013222417,0.005331546654861796
95,96,0.9999993138469503,27.15346715532138,0.0021138579010369085
96,97,0.9999993138598205,27.152957834826037,0.0005093204953432462
97,98,0.9999993138721458,27.152470081502155,0.0004877533238811793
98,99,0.9999993138835119,27.152020282668598,0.0004497988335572245
99,100,0.9999993138946354,27.151580092095696,0.0004401905729025657
100,101,0.9999993139032923,27.151237504971736,0.0003425871239599587
101,102,0.9999993139140833,27.150810470252775,0.0004270347189603285
102,103,0.9999993139202877,27.1505649348997,0.000245535353077031
103,104,0.99999931392702,27.150298516919488,0.0002664179802103206
104,105,0.9999993139423683,27.149691133724723,0.0006073831947652764
105,106,0.9999993139561015,27.149147660996604,0.0005434727281183882
106,107,0.9999993139606554,27.148967445479006,0.00018021551759872523
107,108,0.9999993139838229,27.14805063032537,0.0009168151536371738
108,109,0.9999993139851477,27.147998200555207,5.242977016095551e-05
109,110,0.9999993139862461,27.14795473592854,4.346462666759976e-05
110,111,0.9999993139869165,27.147928202298196,2.6533630343550385e-05
111,112,0.9999993139873606,27.14791063000405,1.757229414778294e-05
112,113,0.9999993139877407,27.147895591017914,1.5038986134641164e-05
113,114,0.9999993139880741,27.147882396251983,1.3194765930535368e-05
114,115,0.9999993139883135,27.147872917542117,9.478709866783674e-06
115,116,0.9999993139947786,27.14761707275327,0.0002558447888461046
116,117,0.9999993139949158,27.147611641968002,5.430785268600857e-06
117,118,0.9999993139949913,27.147608655938146,2.986029855378547e-06
118,119,0.9999993139949913,27.147608655928146,1.000088900582341e-11
119,120,0.9999993139949913,27.147608655928032,1.1368683772161603e-13
120,121,0.9999993139949913,27.147608655936796,8.764544645600836e-12
