,model,r_sq,rss,diff
1,2,0.999304983281594,11770.808025656168,1169.5607135629689
2,3,0.9993130980988938,11633.375422857427,137.43260279874085
3,4,0.9993191107265775,11531.545518165582,101.82990469184551
4,5,0.9993226936235641,11470.865549630242,60.67996853533987
5,6,0.9993274051663038,11391.070828690166,79.79472094007542
6,7,0.9993314951223173,11321.80330491022,69.26752377994671
7,8,0.9993359740559569,11245.948053326178,75.85525158404198
8,9,0.9993385793011793,11201.825601935858,44.12245139031984
9,10,0.9993402954071996,11172.761618320685,29.06398361517313
10,11,0.9993428728367507,11129.110253335171,43.65136498551328
11,12,0.9993448060351791,11096.369591171077,32.74066216409483
12,13,0.9993470014078354,11059.188744439693,37.18084673138401
13,14,0.9993489076325665,11026.904909003108,32.28383543658492
14,15,0.9993498264786815,11011.34332474299,15.561584260118252
15,16,0.999351662438066,10980.249503709296,31.09382103369353
16,17,0.9993529216685533,10958.92316733079,21.326336378506312
17,18,0.9993537116378293,10945.54424212264,13.378925208149667
18,19,0.9993544826254546,10932.486790283998,13.05745183864201
19,20,0.9993551538494332,10921.118936265519,11.367854018479193
20,21,0.9993557611261717,10910.834093155778,10.284843109740905
21,22,0.9993563914990452,10900.158093742335,10.675999413442696
22,23,0.9993634766364857,10780.164156274459,119.9939374678761
23,24,0.9993641598707353,10768.59289622195,11.571260052509388
24,25,0.999365027554915,10753.897790860769,14.69510536118105
25,26,0.9993657301966198,10741.997846011815,11.899944848953965
26,27,0.9993663235996113,10731.94796877735,10.049877234465384
27,28,0.9993667668104111,10724.44174755921,7.5062212181383074
28,29,0.9993672375604636,10716.469121362148,7.972626197062709
29,30,0.9993676910467019,10708.788875245544,7.680246116604394
30,31,0.9993680852125182,10702.113280211845,6.67559503369921
31,32,0.9993685289348135,10694.598396300684,7.514883911160723
32,33,0.9993689462882309,10687.530095890721,7.068300409962831
33,34,0.9993697471959448,10673.965917221873,13.564178668848399
34,35,0.9993700997688725,10667.994739641239,5.971177580633594
35,36,0.9993704466145015,10662.120559633637,5.874180007602263
36,37,0.9993708499444981,10655.289759976815,6.83079965682191
37,38,0.9993712910453195,10647.819273365656,7.470486611158776
38,39,0.9993716541867872,10641.669106917681,6.150166447974698
39,40,0.9993719148806608,10637.253993642556,4.415113275124895
40,41,0.9993722589061037,10631.427576325565,5.826417316991865
41,42,0.9993725573576046,10626.372999610952,5.054576714612267
42,43,0.9993734899112662,10610.579264245982,15.793735364970416
43,44,0.999374490932599,10593.625959920302,16.95330432567971
44,45,0.9993747964114604,10588.452367776936,5.173592143366477
45,46,0.9993750746611715,10583.739928715077,4.712439061859186
46,47,0.9993753869485771,10578.451027020466,5.288901694610104
47,48,0.9993756508929392,10573.980863449158,4.470163571308149
48,49,0.9993759834110056,10568.349335140347,5.631528308811539
49,50,0.9993761841270159,10564.950007380303,3.3993277600438887
50,51,0.9993763571998259,10562.018845055507,2.931162324795878
51,52,0.9993788943289311,10519.050008704573,42.968836350934
52,53,0.9993792374983621,10513.238088809305,5.811919895268147
53,54,0.999379528368249,10508.311914363803,4.926174445501601
54,55,0.9993798686430361,10502.54901817853,5.762896185273348
55,56,0.9993800791493038,10498.983882548437,3.5651356300932093
56,57,0.9993804597651382,10492.53777010337,6.446112445066319
57,58,0.9993806524771994,10489.273997280241,3.2637728231293295
58,59,0.9993807934067601,10486.887213251332,2.38678402890946
59,60,0.9993809081011275,10484.94474863993,1.9424646114021016
60,61,0.9993810678931251,10482.238510245386,2.7062383945431066
61,62,0.9993812459357081,10479.223179808549,3.0153304368377576
62,63,0.9993813936999418,10476.720643707957,2.5025361005918967
63,64,0.9993815744697001,10473.659125812095,3.0615178958614706
64,65,0.9993817154742926,10471.271071042893,2.3880547692024265
65,66,0.9993819400466951,10467.46771125646,3.8033597864323383
66,67,0.9993821038183811,10464.694072831642,2.773638424818273
67,68,0.9993825464697627,10457.197325922964,7.496746908678688
68,69,0.9993856283615985,10405.002384140314,52.19494178264904
69,70,0.9993863307651903,10393.106471973544,11.895912166770358
70,71,0.999387064539957,10380.679257372574,12.427214600969819
71,72,0.9993879493419738,10365.694244197442,14.985013175131826
72,73,0.9993885007097298,10356.356276008804,9.337968188638115
73,74,0.9993887383912673,10352.330899819957,4.025376188847076
74,75,0.9993894578481756,10340.14617256869,12.18472725126776
75,76,0.999389865707546,10333.238663405229,6.907509163460418
76,77,0.9993901180935663,10328.964251992536,4.274411412692643
77,78,0.999390267113367,10326.440451601527,2.52380039100899
78,79,0.9993904128506722,10323.972243576143,2.4682080253842287
79,80,0.9993905723845643,10321.270376457971,2.701867118172231
80,81,0.9993910620048615,10312.978163664588,8.292212793383442
81,82,0.9993915428567631,10304.834452481693,8.143711182894549
82,83,0.9993916381545118,10303.220489140356,1.6139633413367847
83,84,0.9993917481696952,10301.357271221248,1.8632179191081377
84,85,0.9993918405258335,10299.793127012828,1.5641442084197479
85,86,0.9993919177967994,10298.484465393383,1.308661619445047
86,87,0.9993919891471157,10297.2760759347,1.2083894586830866
87,88,0.9993920536325842,10296.183949587221,1.0921263474792795
88,89,0.9993921190136135,10295.076656016185,1.10729357103628
89,90,0.9993927490233702,10284.406806351326,10.669849664858702
90,91,0.9993931126945147,10278.24766929214,6.159137059186833
91,92,0.9993946558819142,10252.112236652703,26.13543263943575
92,93,0.9993949353410275,10247.379315146696,4.732921506007187
93,94,0.999395431402358,10238.978016968369,8.401298178327124
94,95,0.9993957572319998,10233.459763865032,5.518253103336974
95,96,0.999395909908669,10230.874030722287,2.5857331427450845
96,97,0.9993960509468582,10228.48540695918,2.388623763106807
97,98,0.9993961366588673,10227.033787771827,1.4516191873535718
98,99,0.9993961820028403,10226.265841925468,0.7679458463589981
99,100,0.9993965767817611,10219.579863351406,6.685978574061664
100,101,0.999396631254359,10218.65731505044,0.9225483009668096
101,102,0.9993966862569729,10217.725790393837,0.9315246566020505
102,103,0.9993967358492284,10216.88589560747,0.8398947863679496
103,104,0.9993967792844026,10216.150277191142,0.7356184163272701
104,105,0.9993968143428793,10215.556526583985,0.593750607156835
105,106,0.9993968400399429,10215.121320934126,0.4352056498591992
106,107,0.9993968568046375,10214.837393948379,0.28392698574680253
107,108,0.9993968720185953,10214.579730252124,0.2576636962548946
108,109,0.9993968798373356,10214.447312011007,0.13241824111719325
109,110,0.9993968826436573,10214.399784127349,0.04752788365840388
110,111,0.9993968838011731,10214.38018043269,0.019603694658144377
111,112,0.9993968848644028,10214.3621735653,0.018006867390795378
112,113,0.9993969006801673,10214.094317668456,0.2678558968436846
113,114,0.9993969014703137,10214.080935742184,0.013381926271904376
114,115,0.9993969020301947,10214.071453593651,0.009482148532697465
115,116,0.9993969668873139,10212.973032965883,1.0984206277680642
116,117,0.9993969673192067,10212.965718427444,0.007314538439459284
117,118,0.9993969674283211,10212.963870465532,0.0018479619120626012
118,119,0.9993969674283212,10212.963870463547,1.9845174392685294e-09
119,120,0.9993969674283211,10212.963870465526,1.979060471057892e-09
120,121,0.9993969674283212,10212.963870464417,1.1095835361629725e-09
