,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
SES_alpha=0.2_0_2022-12-22 00:00:00,SES_alpha=0.2,0,2022-12-22 00:00:00,24.839129350160626,2.6647423205072016,96870.01846181456,134.53254844594488,0.40999538380588896,0.027442289564399442
SES_alpha=0.6_0_2022-12-22 00:00:00,SES_alpha=0.6,0,2022-12-22 00:00:00,24.701102018462294,2.4721479193051863,96623.35955404678,126.94879978933002,0.4068582495340248,0.025782204926197178
SES_alpha=0.78_0_2022-12-22 00:00:00,SES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,96869.94163346513,134.52957187961613,0.40999440897336115,0.027441648410190488
ES_alpha=0.78_0_2022-12-22 00:00:00,ES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,96869.94163346513,134.52957187961613,0.40999440897336115,0.027441648410190488
naive_0_2022-12-22 00:00:00,naive,0,2022-12-22 00:00:00,24.990802054332452,2.91933669245073,31.742673697904387,2.8971320745663256,0.4133082843171619,0.02966815099657897
ma30_0_2022-12-22 00:00:00,ma30,0,2022-12-22 00:00:00,24.58503364639377,2.352928630031254,31.506710191712912,2.462505277498061,0.4041190136572454,0.024897235341131627
Holt=0.78_0_2022-12-22 00:00:00,Holt=0.78,0,2022-12-22 00:00:00,24.086078061080443,2.6514506551182477,96064.78888848593,133.9827265722411,0.39350531948651407,0.027291009613933662
Holt_alpha=0.3_beta_0.1_0_2022-12-22 00:00:00,Holt_alpha=0.3_beta_0.1,0,2022-12-22 00:00:00,184.56210954182689,3.329374710549553,300561.6433218271,165.31084669839544,2.848091513857397,0.03652049854139426
Arima_Best_0_2022-12-22 00:00:00,Arima_Best,0,2022-12-22 00:00:00,22.507349636723333,2.447814476900401,93424.5813643987,126.80358093839197,0.3438330481173978,0.024953874431613333
snaive_0_2022-12-22 00:00:00,snaive,0,2022-12-22 00:00:00,23.43107465606962,6.347548185831105,30.485469943040886,7.878661794663115,0.3591511686544451,0.07541178326963428
ES_alpha=0.78_0_2022-12-22 00:00:00,ES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,96869.94163346513,134.52957187961613,0.40999440897336115,0.027441648410190488
esrnn_0_2022-12-22 00:00:00,esrnn_ftsubset,0,2022-12-22 00:00:00,7.235955677409148,11.882054211300058,8.104242621527778,13.210988898026315,0.08434583991765976,0.1427658200263977
gru_0_2022-12-22 00:00:00,gru_grusubset,0,2022-12-22 00:00:00,22.108271422325245,10.71186594204993,27.610314542483657,14.034447385553728,0.29781487584114075,0.13026374578475952
reg_0_2022-12-22 00:00:00,reg,0,2022-12-22 00:00:00,1.8411824106810504,2.2772041244119214,118890.99493029596,123.30243447888382,0.018397363011150462,0.024341535826904487
SES_alpha=0.2_0_2022-12-01 00:00:00,SES_alpha=0.2,0,2022-12-01 00:00:00,25.279126320155143,4.073974033411715,97419.64390496406,202.33998966609443,0.4198240582497173,0.04191651806883405
SES_alpha=0.6_0_2022-12-01 00:00:00,SES_alpha=0.6,0,2022-12-01 00:00:00,25.279285763534386,4.074289258297347,97419.89571443605,202.36134804645616,0.4198272864961674,0.04192101747569679
SES_alpha=0.78_0_2022-12-01 00:00:00,SES_alpha=0.78,0,2022-12-01 00:00:00,25.279139250544212,4.073999596912777,97419.66432643819,202.34172180352692,0.41982432005573184,0.04191688296407886
