,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
SES_alpha=0.2_0_2022-12-01 00:00:00,SES_alpha=0.2,0,2022-12-01 00:00:00,25.279126320155143,4.073974033411715,31.99331491131825,4.046799793321888,0.4198240582497173,0.04191651806883405
SES_alpha=0.6_0_2022-12-01 00:00:00,SES_alpha=0.6,0,2022-12-01 00:00:00,25.279285763534386,4.074289258297347,31.993397607368152,4.047226960929122,0.4198272864961674,0.04192101747569679
SES_alpha=0.78_0_2022-12-01 00:00:00,SES_alpha=0.78,0,2022-12-01 00:00:00,25.279139250544212,4.073999596912777,31.99332161787788,4.046834436070538,0.41982432005573184,0.04191688296407886
ES_alpha=0.78_0_2022-12-01 00:00:00,ES_alpha=0.78,0,2022-12-01 00:00:00,25.279139250544212,4.073999596912777,31.99332161787788,4.046834436070538,0.41982432005573184,0.04191688296407886
naive_0_2022-12-01 00:00:00,naive,0,2022-12-01 00:00:00,25.199955215213496,3.918597766417572,97293.27615860896,193.31234056407294,0.41820588031799294,0.039999367732394375
ma30_0_2022-12-01 00:00:00,ma30,0,2022-12-01 00:00:00,27.25495157845449,7.95154443678966,100444.27698798338,463.79581470726123,0.4552306209891875,0.09802524806131668
Holt=0.78_0_2022-12-01 00:00:00,Holt=0.78,0,2022-12-01 00:00:00,24.763714032651315,4.065637464132666,31.506207287010138,4.032550141691379,0.4092773954291386,0.04176788558649774
Holt_alpha=0.3_beta_0.1_0_2022-12-01 00:00:00,Holt_alpha=0.3_beta_0.1,0,2022-12-01 00:00:00,665.9964791837015,11.160246792092009,192.70109733356026,13.173383460191289,9.923728501047247,0.12107317205119035
Arima_Best_0_2022-12-01 00:00:00,Arima_Best,0,2022-12-01 00:00:00,22.444280807381677,3.8131185532481235,29.03048783237431,3.729166658791923,0.34387708393909133,0.038536022827586086
snaive_0_2022-12-01 00:00:00,snaive,0,2022-12-01 00:00:00,23.598520387460297,4.776846242953951,93817.10835347834,272.3069574482908,0.37048538507877904,0.05261759822016653
ES_alpha=0.78_0_2022-12-01 00:00:00,ES_alpha=0.78,0,2022-12-01 00:00:00,25.279139250544212,4.073999596912777,31.99332161787788,4.046834436070538,0.41982432005573184,0.04191688296407886
combined_0_2022-12-01 00:00:00,combined,0,2022-12-01 00:00:00,214.30364249031422,4.074125346032706,177.5263573088458,4.587026234630169,3.113920495042532,0.045665364584596586
SES_alpha=0.2_1_2022-12-22 00:00:00,SES_alpha=0.2,1,2022-12-22 00:00:00,24.839129350160626,2.6647423205072016,31.656868778370757,2.6906509689188978,0.40999538380588896,0.027442289564399442
SES_alpha=0.6_1_2022-12-22 00:00:00,SES_alpha=0.6,1,2022-12-22 00:00:00,24.701102018462294,2.4721479193051863,31.576261292172173,2.5389759957866005,0.4068582495340248,0.025782204926197178
SES_alpha=0.78_1_2022-12-22 00:00:00,SES_alpha=0.78,1,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,31.656843671067016,2.690591437592322,0.40999440897336115,0.027441648410190488
ES_alpha=0.78_1_2022-12-22 00:00:00,ES_alpha=0.78,1,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,31.656843671067016,2.690591437592322,0.40999440897336115,0.027441648410190488
naive_1_2022-12-22 00:00:00,naive,1,2022-12-22 00:00:00,24.990802054332452,2.91933669245073,97132.58151558746,144.85660372831626,0.4133082843171619,0.02966815099657897
ma30_1_2022-12-22 00:00:00,ma30,1,2022-12-22 00:00:00,24.58503364639377,2.352928630031254,96410.5331866414,123.12526387490307,0.4041190136572454,0.024897235341131627
Holt=0.78_1_2022-12-22 00:00:00,Holt=0.78,1,2022-12-22 00:00:00,24.086078061080443,2.6514506551182477,30.8878290682113,2.676351945589195,0.39350531948651407,0.027291009613933662
Holt_alpha=0.3_beta_0.1_1_2022-12-22 00:00:00,Holt_alpha=0.3_beta_0.1,1,2022-12-22 00:00:00,184.56210954182689,3.329374710549553,96.58339630807224,3.572932750041969,2.848091513857397,0.03652049854139426
Arima_Best_1_2022-12-22 00:00:00,Arima_Best,1,2022-12-22 00:00:00,22.507349636723333,2.447814476900401,29.09508594727225,2.457020909535413,0.3438330481173978,0.024953874431613333
snaive_1_2022-12-22 00:00:00,snaive,1,2022-12-22 00:00:00,23.43107465606962,6.347548185831105,93285.53802570517,393.9330897331557,0.3591511686544451,0.07541178326963428
ES_alpha=0.78_1_2022-12-22 00:00:00,ES_alpha=0.78,1,2022-12-22 00:00:00,24.839085578772078,2.66467441328313,31.656843671067016,2.690591437592322,0.40999440897336115,0.027441648410190488
combined_1_2022-12-22 00:00:00,combined,1,2022-12-22 00:00:00,72.44592518316017,2.817207015765758,61.02864560216532,2.9118404682788377,1.1583414401575745,0.029714648856709144
SES_alpha=0.2_2_2023-01-17 00:00:00,SES_alpha=0.2,2,2023-01-17 00:00:00,24.94455406036208,5.432289049024933,31.611246285630862,5.3688841766917506,0.4117465125056695,0.05645470111316775
SES_alpha=0.6_2_2023-01-17 00:00:00,SES_alpha=0.6,2,2023-01-17 00:00:00,24.93196188380949,5.407646496112878,31.604098947475144,5.343650246491217,0.4114764498373549,0.05617634507161461
SES_alpha=0.78_2_2023-01-17 00:00:00,SES_alpha=0.78,2,2023-01-17 00:00:00,24.944560147853622,5.432300971042375,31.611249733173924,5.368896350782023,0.4117466428280441,0.05645483543762117
ES_alpha=0.78_2_2023-01-17 00:00:00,ES_alpha=0.78,2,2023-01-17 00:00:00,24.944560147853622,5.432300971042375,31.611249733173924,5.368896350782023,0.4117466428280441,0.05645483543762117
